t , h1 , h2
0,10,10
0.005,10.02553,10.04809
0.01,10.05081,10.09593
0.015,10.07585,10.14352
0.02,10.10064,10.19087
0.025,10.12519,10.23798
0.03,10.14949,10.28484
0.035,10.17355,10.33145
0.04,10.19736,10.37782
0.045,10.22093,10.42395
0.05,10.24425,10.46983
0.055,10.26733,10.51546
0.06,10.29016,10.56085
0.065,10.31275,10.60599
0.07,10.33509,10.65089
0.075,10.35718,10.69555
0.08,10.37903,10.73995
0.085,10.40064,10.78412
0.09,10.422,10.82803
0.095,10.44311,10.8717
0.1,10.46398,10.91513
0.105,10.4846,10.95831
0.11,10.50498,11.00125
0.115,10.52512,11.04394
0.12,10.545,11.08639
0.125,10.56465,11.12859
0.13,10.58404,11.17054
0.135,10.6032,11.21225
0.14,10.6221,11.25372
0.145,10.64077,11.29494
0.15,10.65918,11.33591
0.155,10.67735,11.37664
0.16,10.69528,11.41712
0.165,10.71296,11.45736
0.17,10.7304,11.49735
0.175,10.74759,11.5371
0.18,10.76453,11.5766
0.185,10.78123,11.61586
0.19,10.79769,11.65487
0.195,10.8139,11.69364
0.2,10.82986,11.73216
0.205,10.84558,11.77044
0.21,10.86105,11.80847
0.215,10.87628,11.84626
0.22,10.89126,11.8838
0.225,10.906,11.92109
0.23,10.92049,11.95814
0.235,10.93474,11.99495
0.24,10.94874,12.03151
0.245,10.9625,12.06782
0.25,10.97601,12.10389
0.255,10.98928,12.13971
0.26,11.0023,12.17529
0.265,11.01508,12.21063
0.27,11.02761,12.24572
0.275,11.03989,12.28056
0.28,11.05193,12.31516
0.285,11.06373,12.34951
0.29,11.07528,12.38362
0.295,11.08658,12.41748
0.3,11.09764,12.45109
0.305,11.10845,12.48447
0.31,11.11902,12.51759
0.315,11.12935,12.55047
0.32,11.13942,12.58311
0.325,11.14926,12.6155
0.33,11.15885,12.64764
0.335,11.16819,12.67954
0.34,11.17728,12.7112
0.345,11.18614,12.74261
0.35,11.19474,12.77377
0.355,11.2031,12.80469
0.36,11.21122,12.83537
0.365,11.21909,12.86579
0.37,11.22672,12.89598
0.375,11.2341,12.92591
0.38,11.24123,12.95561
0.385,11.24812,12.98505
0.39,11.25477,13.01426
0.395,11.26117,13.04321
0.4,11.26732,13.07193
0.405,11.27323,13.10039
0.41,11.27889,13.12861
0.415,11.28431,13.15659
0.42,11.28948,13.18432
0.425,11.29441,13.21181
0.43,11.2991,13.23905
0.435,11.30353,13.26604
0.44,11.30772,13.29279
0.445,11.31167,13.31929
0.45,11.31537,13.34555
0.455,11.31883,13.37157
0.46,11.32204,13.39734
0.465,11.32501,13.42286
0.47,11.32773,13.44814
0.475,11.3302,13.47317
0.48,11.33243,13.49796
0.485,11.33442,13.5225
0.49,11.33616,13.5468
0.495,11.33765,13.57085
0.5,11.3389,13.59466
0.505,11.3399,13.61822
0.51,11.34066,13.64153
0.515,11.34118,13.66461
0.52,11.34145,13.68743
0.525,11.34147,13.71001
0.53,11.34125,13.73235
0.535,11.34078,13.75444
0.54,11.34007,13.77628
0.545,11.33911,13.79788
0.55,11.3379,13.81924
0.555,11.33646,13.84034
0.56,11.33476,13.86121
0.565,11.33282,13.88183
0.57,11.33064,13.9022
0.575,11.32821,13.92233
0.58,11.32553,13.94221
0.585,11.32261,13.96185
0.59,11.31945,13.98124
0.595,11.31604,14.00039
0.6,11.31238,14.01929
0.605,11.30848,14.03794
0.61,11.30433,14.05636
0.615,11.29994,14.07452
0.62,11.29531,14.09244
0.625,11.29042,14.11012
0.63,11.2853,14.12755
0.635,11.27992,14.14473
0.64,11.27431,14.16167
0.645,11.26844,14.17837
0.65,11.26233,14.19482
0.655,11.25598,14.21102
0.66,11.24938,14.22698
0.665,11.24254,14.24269
0.67,11.23545,14.25816
0.675,11.22811,14.27338
0.68,11.22053,14.28836
0.685,11.21271,14.30309
0.69,11.20464,14.31758
0.695,11.19632,14.33182
0.7,11.18776,14.34582
0.705,11.17896,14.35957
0.71,11.1699,14.37308
0.715,11.16061,14.38634
0.72,11.15107,14.39935
0.725,11.14128,14.41212
