t , h1 , h2
0.000 ,         10.00000 , 10.00000
0.005 ,         10.02553 , 10.04809
0.010 ,         10.05081 , 10.09593
0.015 ,         10.07585 , 10.14352
0.020 ,         10.10064 , 10.19087
0.025 ,         10.12519 , 10.23798
0.030 ,         10.14949 , 10.28484
0.035 ,         10.17355 , 10.33145
0.040 ,         10.19736 , 10.37782
0.045 ,         10.22093 , 10.42395
0.050 ,         10.24425 , 10.46983
0.055 ,         10.26733 , 10.51546
0.060 ,         10.29016 , 10.56085
0.065 ,         10.31275 , 10.60599
0.070 ,         10.33509 , 10.65089
0.075 ,         10.35718 , 10.69555
0.080 ,         10.37903 , 10.73995
0.085 ,         10.40064 , 10.78412
0.090 ,         10.42200 , 10.82803
0.095 ,         10.44311 , 10.87170
0.100 ,         10.46398 , 10.91513
0.105 ,         10.48460 , 10.95831
0.110 ,         10.50498 , 11.00125
0.115 ,         10.52512 , 11.04394
0.120 ,         10.54500 , 11.08639
0.125 ,         10.56465 , 11.12859
0.130 ,         10.58404 , 11.17054
0.135 ,         10.60320 , 11.21225
0.140 ,         10.62210 , 11.25372
0.145 ,         10.64077 , 11.29494
0.150 ,         10.65918 , 11.33591
0.155 ,         10.67735 , 11.37664
0.160 ,         10.69528 , 11.41712
0.165 ,         10.71296 , 11.45736
0.170 ,         10.73040 , 11.49735
0.175 ,         10.74759 , 11.53710
0.180 ,         10.76453 , 11.57660
0.185 ,         10.78123 , 11.61586
0.190 ,         10.79769 , 11.65487
0.195 ,         10.81390 , 11.69364
0.200 ,         10.82986 , 11.73216
0.205 ,         10.84558 , 11.77044
0.210 ,         10.86105 , 11.80847
0.215 ,         10.87628 , 11.84626
0.220 ,         10.89126 , 11.88380
0.225 ,         10.90600 , 11.92109
0.230 ,         10.92049 , 11.95814
0.235 ,         10.93474 , 11.99495
0.240 ,         10.94874 , 12.03151
0.245 ,         10.96250 , 12.06782
0.250 ,         10.97601 , 12.10389
0.255 ,         10.98928 , 12.13971
0.260 ,         11.00230 , 12.17529
0.265 ,         11.01508 , 12.21063
0.270 ,         11.02761 , 12.24572
0.275 ,         11.03989 , 12.28056
0.280 ,         11.05193 , 12.31516
